key,share
industry_final_demand_for_other_minerals_network_gas,2.12966341448712E-01
industry_final_demand_for_other_transport_equipment_network_gas,7.50425209943084E-02
industry_final_demand_for_other_machinery_network_gas,1.54962653840353E-01
industry_final_demand_for_other_mining_network_gas,9.04691698243953E-03
industry_final_demand_for_other_food_network_gas,2.18568535858178E-01
industry_final_demand_for_other_paper_network_gas,1.61200045795542E-01
industry_final_demand_for_other_wood_products_network_gas,1.10436799622842E-02
industry_final_demand_for_other_construction_network_gas,0.00000000000000E+00
industry_final_demand_for_other_textile_network_gas,2.09357305532323E-02
industry_final_demand_for_other_non_specified_network_gas,1.36233574564950E-01
