year,preset_demand
2.01000000000000E+03,2.02892328000000E+05
2.01100000000000E+03,1.94937408000000E+05
2.01200000000000E+03,1.86982488000000E+05
2.01300000000000E+03,1.79027568000000E+05
2.01400000000000E+03,1.71072648000000E+05
2.01500000000000E+03,1.63117728000000E+05
2.01600000000000E+03,1.56510957600000E+05
2.01700000000000E+03,1.49904187200000E+05
2.01800000000000E+03,1.43297416800000E+05
2.01900000000000E+03,1.36690646400000E+05
2.02000000000000E+03,1.30083876000000E+05
2.02100000000000E+03,1.27086127200000E+05
2.02200000000000E+03,1.24088378400000E+05
2.02300000000000E+03,1.21090629600000E+05
2.02400000000000E+03,1.18092880800000E+05
2.02500000000000E+03,1.15095132000000E+05
2.02600000000000E+03,1.12884501600000E+05
2.02700000000000E+03,1.10673871200000E+05
2.02800000000000E+03,1.08463240800000E+05
2.02900000000000E+03,1.06252610400000E+05
2.03000000000000E+03,1.04041980000000E+05
2.03100000000000E+03,9.38596824000000E+04
2.03200000000000E+03,8.36773848000000E+04
2.03300000000000E+03,7.34950872000000E+04
2.03400000000000E+03,6.33127896000000E+04
2.03500000000000E+03,5.31304920000000E+04
2.03600000000000E+03,4.76625312000000E+04
2.03700000000000E+03,4.21945704000000E+04
2.03800000000000E+03,3.67266096000000E+04
2.03900000000000E+03,3.12586488000000E+04
2.04000000000000E+03,2.57906880000000E+04
2.04100000000000E+03,2.06325504000000E+04
2.04200000000000E+03,1.54744128000000E+04
2.04300000000000E+03,1.03162752000000E+04
2.04400000000000E+03,5.15813760000000E+03
2.04500000000000E+03,0.00000000000000E+00
2.04600000000000E+03,0.00000000000000E+00
2.04700000000000E+03,0.00000000000000E+00
2.04800000000000E+03,0.00000000000000E+00
2.04900000000000E+03,0.00000000000000E+00
2.05000000000000E+03,0.00000000000000E+00
