year,preset_demand
2.01000000000000E+03,1.53462176000000E+06
2.01100000000000E+03,1.59522506000000E+06
2.01200000000000E+03,1.67593442000000E+06
2.01300000000000E+03,1.65326525666667E+06
2.01400000000000E+03,1.63059609333333E+06
2.01500000000000E+03,1.60792693000000E+06
2.01600000000000E+03,1.56475954019183E+06
2.01700000000000E+03,1.52159215038366E+06
2.01800000000000E+03,1.47842476057548E+06
2.01900000000000E+03,1.43525737076731E+06
2.02000000000000E+03,1.39208998095914E+06
2.02100000000000E+03,1.37982256485658E+06
2.02200000000000E+03,1.36755514875401E+06
2.02300000000000E+03,1.35528773265145E+06
2.02400000000000E+03,1.34302031654889E+06
2.02500000000000E+03,1.33075290044632E+06
2.02600000000000E+03,1.27896777889449E+06
2.02700000000000E+03,1.22718265734266E+06
2.02800000000000E+03,1.17539753579082E+06
2.02900000000000E+03,1.12361241423899E+06
2.03000000000000E+03,1.07182729268716E+06
2.03100000000000E+03,1.04446777591590E+06
2.03200000000000E+03,1.01710825914463E+06
2.03300000000000E+03,9.89748742373371E+05
2.03400000000000E+03,9.62389225602109E+05
2.03500000000000E+03,9.35029708830846E+05
2.03600000000000E+03,9.34343758101973E+05
2.03700000000000E+03,9.33657807373100E+05
2.03800000000000E+03,9.32971856644227E+05
2.03900000000000E+03,9.32285905915354E+05
2.04000000000000E+03,9.31599955186482E+05
2.04100000000000E+03,8.87416192458373E+05
2.04200000000000E+03,8.43232429730264E+05
2.04300000000000E+03,7.99048667002156E+05
2.04400000000000E+03,7.54864904274047E+05
2.04500000000000E+03,7.10681141545938E+05
2.04600000000000E+03,7.78522737992170E+05
2.04700000000000E+03,8.46364334438402E+05
2.04800000000000E+03,9.14205930884634E+05
2.04900000000000E+03,9.82047527330866E+05
2.05000000000000E+03,1.04988912377710E+06
