key,share
industry_final_demand_for_other_minerals_network_gas,9.34913509914146E-02
industry_final_demand_for_other_transport_equipment_network_gas,4.98986992847903E-03
industry_final_demand_for_other_machinery_network_gas,4.64449784389057E-02
industry_final_demand_for_other_mining_network_gas,1.46625513103352E-02
industry_final_demand_for_other_food_network_gas,2.32125640548996E-01
industry_final_demand_for_other_paper_network_gas,3.20597631175950E-02
industry_final_demand_for_other_wood_products_network_gas,1.83041740114694E-03
industry_final_demand_for_other_construction_network_gas,9.62154268224456E-03
industry_final_demand_for_other_textile_network_gas,5.00494298149508E-03
industry_final_demand_for_other_non_specified_network_gas,5.59768942599388E-01
