year,preset_demand
2.01000000000000E+03,5.16294900000000E+05
2.01100000000000E+03,4.65874200000000E+05
2.01200000000000E+03,4.25690100000000E+05
2.01300000000000E+03,3.69715500000000E+05
2.01400000000000E+03,3.48443700000000E+05
2.01500000000000E+03,3.46397089400000E+05
2.01600000000000E+03,3.43517703500000E+05
2.01700000000000E+03,3.39124740100000E+05
2.01800000000000E+03,3.24682786500000E+05
2.01900000000000E+03,3.24174238100000E+05
2.02000000000000E+03,3.43378378400000E+05
2.02100000000000E+03,3.07916467900000E+05
2.02200000000000E+03,2.66731106600000E+05
2.02300000000000E+03,2.29098604100000E+05
2.02400000000000E+03,1.87914760900000E+05
2.02500000000000E+03,1.71311850300000E+05
2.02600000000000E+03,1.52994054900000E+05
2.02700000000000E+03,1.28494505500000E+05
2.02800000000000E+03,1.13091429400000E+05
2.02900000000000E+03,1.03390852400000E+05
2.03000000000000E+03,9.60512412900000E+04
2.03100000000000E+03,8.58713513500000E+04
2.03200000000000E+03,7.92411642400000E+04
2.03300000000000E+03,7.36819538500000E+04
2.03400000000000E+03,6.63340006700000E+04
2.03500000000000E+03,6.14229284200000E+04
2.03600000000000E+03,5.77259875300000E+04
2.03700000000000E+03,5.27123224900000E+04
2.03800000000000E+03,4.83353133400000E+04
2.03900000000000E+03,4.60353430400000E+04
2.04000000000000E+03,4.30166320200000E+04
2.04100000000000E+03,3.99979210000000E+04
2.04200000000000E+03,3.69792099800000E+04
2.04300000000000E+03,3.39604989600000E+04
2.04400000000000E+03,3.09417879400000E+04
2.04500000000000E+03,2.79230769200000E+04
2.04600000000000E+03,2.49043659000000E+04
2.04700000000000E+03,2.18856548900000E+04
2.04800000000000E+03,1.88669438700000E+04
2.04900000000000E+03,1.58482328500000E+04
2.05000000000000E+03,1.28295218300000E+04
