PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB/peat briquettes,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Natural Gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel,Other Kerosene,Gas/diesel oil,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Non-specified oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,0.00000000000000E+00,0.00000000000000E+00,2.85655100000000E+04,1.07735510000000E+05,2.71961130000000E+05,0.00000000000000E+00,7.67310880000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.27999601000000E+06,0.00000000000000E+00,1.31192515500000E+06,8.86911800000000E+04,0.00000000000000E+00,1.62532850000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,3.45028750000000E+04,5.92066050000000E+04,5.42445800000000E+04,2.86137505000000E+05,1.76687040000000E+05,1.07595950000000E+04,5.59235450000000E+04,3.52240100000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.10581355500000E+06,4.32635900000000E+04,1.10803650000000E+04,2.10907950000000E+04,1.11783600000000E+04,0.00000000000000E+00,8.63723450000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.86392342500000E+06,7.96923760000000E+05
Imports,0.00000000000000E+00,0.00000000000000E+00,1.69680350000000E+04,2.03094260000000E+05,7.43742710000000E+05,0.00000000000000E+00,0.00000000000000E+00,5.57135500000000E+03,6.33402750000000E+04,0.00000000000000E+00,0.00000000000000E+00,1.05758500000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.50979620500000E+06,0.00000000000000E+00,3.02392614000000E+06,1.05382800000000E+04,1.38218240000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.90490000000000E+04,1.18118000000000E+05,7.04010000000000E+02,0.00000000000000E+00,2.57226000000000E+05,2.13495000000000E+04,5.12009385000000E+05,7.39800050000000E+04,1.66056005000000E+05,6.08221000000000E+03,3.13739950000000E+04,1.23630150000000E+04,7.92000500000000E+03,2.82400050000000E+04,3.84001000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.32374450000000E+04,0.00000000000000E+00,1.14830300000000E+04,1.57269600000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,9.02070350000000E+04,0.00000000000000E+00,8.11521870000000E+06,4.04474400000000E+04
Exports,0.00000000000000E+00,0.00000000000000E+00,-3.23574500000000E+03,-1.02200000000000E+02,-1.14222850000000E+04,0.00000000000000E+00,0.00000000000000E+00,-5.57680000000000E+02,-9.54427000000000E+03,0.00000000000000E+00,0.00000000000000E+00,-1.33581750000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-5.82707960000000E+05,0.00000000000000E+00,-8.17153120000000E+05,-4.06553750000000E+04,-6.28303450000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.26780100000000E+04,-2.96691995000000E+05,-4.40050000000000E+01,0.00000000000000E+00,-4.67625150000000E+04,-4.12799500000000E+03,-2.79945900000000E+05,-1.33000000000000E+05,-3.70699900000000E+04,-2.50699000000000E+03,-3.24869950000000E+04,-2.14500050000000E+04,-4.94000500000000E+03,-2.33600200000000E+04,-2.10600000000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-4.25420000000000E+02,0.00000000000000E+00,-2.39945000000000E+02,-1.32446900000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.12336615000000E+05,-1.32975000000000E+02,-2.59407122500000E+06,-1.39100550000000E+04
International marine bunkers,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-2.83289950000000E+04,-7.27600100000000E+04,0.00000000000000E+00,0.00000000000000E+00,-3.35990000000000E+02,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.01424995000000E+05,0.00000000000000E+00
International aviation bunkers,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-3.94524990000000E+05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-3.94524990000000E+05,0.00000000000000E+00
Stock changes,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-5.47571000000000E+03,9.51943300000000E+04,0.00000000000000E+00,5.96470000000000E+02,2.01300000000000E+02,-3.62842500000000E+03,0.00000000000000E+00,0.00000000000000E+00,4.90050000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.04133585000000E+05,0.00000000000000E+00,1.26215050000000E+04,9.92480000000000E+02,-5.52448500000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-6.43995000000000E+02,5.21401000000000E+03,4.40050000000000E+01,0.00000000000000E+00,2.88100000000000E+03,-1.07495000000000E+02,-1.49115000000000E+02,-7.99990000000000E+02,6.60050000000000E+01,-2.17900000000000E+01,-1.05000500000000E+03,-1.98900000000000E+03,-1.99900000000000E+01,1.98400000000000E+03,-1.18001000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-5.35900000000000E+01,7.36050000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.03407700000000E+05,2.00150000000000E+01
Total primary energy supply,0.00000000000000E+00,0.00000000000000E+00,3.92842876422065E+04,3.01911505336138E+05,1.08081269557310E+06,0.00000000000000E+00,7.28918626039464E+05,5.21497500000000E+03,5.02592138549874E+04,0.00000000000000E+00,0.00000000000000E+00,-1.34578082307529E+04,0.00000000000000E+00,-7.67191370304146E+02,-2.59552448749055E+03,4.99999999965439E-03,0.00000000000000E+00,3.35688903249900E+06,0.00000000000000E+00,3.53131970000000E+06,5.95665500000000E+04,6.98634100000000E+04,1.62532850000000E+04,0.00000000000000E+00,-2.88806569678676E+03,0.00000000000000E+00,5.60144058279268E+03,-1.73360005000000E+05,7.03985000000000E+02,0.00000000000000E+00,-1.81180530000000E+05,1.71140300000000E+04,2.06847082008766E+05,-1.33795817559723E+05,1.29052020000000E+05,3.55339500000000E+03,-2.49902000000000E+03,-1.10760300000000E+04,2.96000500000000E+03,6.59308003225916E+03,-2.03388333116582E+04,3.54051770905170E+04,6.03397459767489E+04,5.66700821899355E+04,2.72326436056016E+05,9.36455182078033E+04,2.19491150000000E+04,5.84794000000000E+04,1.88438042363141E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.10581355500000E+06,4.32558000000000E+04,1.09633667167787E+04,2.10870100000000E+04,1.11783600000000E+04,0.00000000000000E+00,8.63568000000000E+04,0.00000000000000E+00,-2.16165800000000E+04,2.75536949999968E+03,1.09482124578861E+07,8.23481135000000E+05
Transfers,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-4.16117700000000E+04,2.67087500000000E+04,0.00000000000000E+00,0.00000000000000E+00,1.27709950000000E+04,2.48737600000000E+04,2.48399900000000E+04,7.98599000000000E+03,1.32010000000000E+02,0.00000000000000E+00,-1.53294850000000E+04,1.39964950000000E+04,-2.22584950000000E+04,8.59990000000000E+02,4.54960100000000E+04,1.17720500000000E+03,-2.47799950000000E+04,-4.27049500000000E+03,0.00000000000000E+00,-3.35999000000000E+03,-1.85000050000000E+04,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,2.87309600000000E+04,0.00000000000000E+00
Statistical differences,0.00000000000000E+00,0.00000000000000E+00,-6.48950000000000E+01,1.26893550000000E+04,1.67480400000000E+04,0.00000000000000E+00,-7.21740000000000E+02,7.74350000000000E+01,-1.87785100000000E+04,0.00000000000000E+00,0.00000000000000E+00,-5.91620000000000E+03,0.00000000000000E+00,-2.47699500000000E+03,1.43460000000000E+02,0.00000000000000E+00,0.00000000000000E+00,1.12274450000000E+04,0.00000000000000E+00,-2.03495500000000E+03,1.80450000000000E+01,-5.82195500000000E+03,0.00000000000000E+00,0.00000000000000E+00,-4.70260000000000E+02,0.00000000000000E+00,1.90899000000000E+03,2.66201000000000E+03,-8.80050000000000E+01,0.00000000000000E+00,-4.77299000000000E+03,2.36490000000000E+02,8.43481000000000E+03,-5.86001500000000E+03,-8.00801000000000E+03,6.32210000000000E+02,-7.14015000000000E+02,-5.84900000000000E+01,-2.79990000000000E+02,6.56005000000000E+02,3.26001000000000E+03,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,5.00000000000000E-01,5.35900000000000E+01,-7.36050000000000E+01,-2.80100000000000E+01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,-1.91554500000000E+03,0.00000000000000E+00,6.64210000000000E+02,-4.75200000000000E+01
