key,share
industry_final_demand_for_other_minerals_electricity,1.03066768497155E-01
industry_final_demand_for_other_transport_equipment_electricity,8.78742891745224E-02
industry_final_demand_for_other_machinery_electricity,1.71834519989040E-01
industry_final_demand_for_other_mining_electricity,7.38695180460233E-03
industry_final_demand_for_other_food_electricity,2.25262726713981E-01
industry_final_demand_for_other_paper_electricity,9.46503899999017E-02
industry_final_demand_for_other_wood_products_electricity,0.00000000000000E+00
industry_final_demand_for_other_construction_electricity,2.46382845125384E-02
industry_final_demand_for_other_textile_electricity,1.86314418379731E-02
industry_final_demand_for_other_non_specified_electricity,2.66654627470286E-01
