year,preset_demand
2.01000000000000E+03,2.70383543999998E+04
2.01100000000000E+03,2.29759221999999E+04
2.01200000000000E+03,1.89134900000000E+04
2.01300000000000E+03,1.68457392167289E+04
2.01400000000000E+03,1.47779884334579E+04
2.01500000000000E+03,1.27102376501868E+04
2.01600000000000E+03,1.26293955384123E+04
2.01700000000000E+03,1.25485534266378E+04
2.01800000000000E+03,1.24677113148633E+04
2.01900000000000E+03,1.23868692030888E+04
2.02000000000000E+03,1.23060270913143E+04
2.02100000000000E+03,1.22355753839899E+04
2.02200000000000E+03,1.21651236766655E+04
2.02300000000000E+03,1.20946719693411E+04
2.02400000000000E+03,1.20242202620166E+04
2.02500000000000E+03,1.19537685546922E+04
2.02600000000000E+03,1.18733673054724E+04
2.02700000000000E+03,1.17929660562527E+04
2.02800000000000E+03,1.17125648070329E+04
2.02900000000000E+03,1.16321635578131E+04
2.03000000000000E+03,1.15517623085933E+04
2.03100000000000E+03,1.14836390184855E+04
2.03200000000000E+03,1.14155157283776E+04
2.03300000000000E+03,1.13473924382697E+04
2.03400000000000E+03,1.12792691481619E+04
2.03500000000000E+03,1.12111458580540E+04
2.03600000000000E+03,1.15032577392815E+04
2.03700000000000E+03,1.17953696205089E+04
2.03800000000000E+03,1.20874815017364E+04
2.03900000000000E+03,1.23795933829639E+04
2.04000000000000E+03,1.26717052641913E+04
2.04100000000000E+03,1.26070621889610E+04
2.04200000000000E+03,1.25424191137307E+04
2.04300000000000E+03,1.24777760385003E+04
2.04400000000000E+03,1.24131329632700E+04
2.04500000000000E+03,1.23484898880397E+04
2.04600000000000E+03,1.22722842173311E+04
2.04700000000000E+03,1.21960785466225E+04
2.04800000000000E+03,1.21198728759140E+04
2.04900000000000E+03,1.20436672052054E+04
2.05000000000000E+03,1.19674615344969E+04
