year,preset_demand
2010,103204.00546736082
2011,93945.75946350918
2012,93507.95034444857
2013,100495.8215771607
2014,89636.12541967204
2015,87592.9567349125
2016,85179.44771052456
2017,83506.27976307488
2018,83356.97127648487
2019,82300.56530328345
2020,81206.44413030193
2021,79424.0717872106
2022,72186.61814558956
2023,63588.86037171748
2024,57230.92526458296
2025,51670.748782836235
2026,46505.85211954985
2027,41977.92825006153
2028,38186.3548571079
2029,34531.4439354985
2030,31516.216834050676
2031,28959.153694633
2032,26833.865621430632
2033,25012.499993885027
2034,23017.093919582112
2035,21187.541114468015
2036,19112.8262554366
2037,17270.382047909916
2038,15427.93784038319
2039,13585.493632856464
2040,11743.04942532974
2041,9900.605217803017
2042,8058.1610102762925
2043,6215.716802749606
2044,4373.272595222882
2045,2530.828387696149
2046,688.3841801694286
2047,0.0
2048,0.0
2049,0.0
2050,0.0
