key,demand,full_load_hours,electricity_output_conversion,heat_output_conversion
energy_heat_burner_wood_pellets,3.41181713980972E+03,2.19000000000000E+03,0.00E+00,9.00E-01
energy_heat_burner_coal,0.00000000000000E+00,2.19000000000000E+03,0.00E+00,7.20E-01
energy_heat_burner_hydrogen,0.00000000000000E+00,2.19000000000000E+03,0.00E+00,1.10E+00
energy_heat_burner_crude_oil,0.00000000000000E+00,2.19000000000000E+03,0.00E+00,7.20E-01
energy_heat_burner_network_gas,1.78512107036532E+04,2.19000000000000E+03,0.00E+00,1.03E+00
energy_heat_burner_waste_mix,0.00000000000000E+00,2.19000000000000E+03,0.00E+00,1.05E+00
energy_heat_heatpump_water_water_electricity,0.00000000000000E+00,6.50000000000000E+03,0.00E+00,1.00E+00
energy_heat_solar_thermal,0.00000000000000E+00,6.84000000000000E+02,,
energy_chp_local_engine_network_gas,8.87370364293955E+04,3.36100000000000E+03,4.30E-01,4.70E-01
energy_chp_local_engine_biogas,9.14806200000000E+03,8.00000000000000E+03,4.30E-01,4.70E-01
energy_chp_local_wood_pellets,2.38814583385628E+03,6.00000000000000E+03,2.89E-01,8.21E-01
energy_chp_combined_cycle_network_gas,6.02510049726521E+03,3.70000000000000E+03,4.60E-01,4.20E-01
energy_chp_ultra_supercritical_cofiring_coal,1.51783783783784E+03,8.00000000000000E+03,3.70E-01,1.50E-01
energy_chp_ultra_supercritical_coal,9.73530000000000E+04,8.00000000000000E+03,4.00E-01,1.50E-01
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03,3.50E-01,1.50E-01
energy_chp_supercritical_waste_mix,4.84133333333333E+04,5.00000000000000E+03,2.70E-01,1.50E-01
energy_hydrogen_wind_turbine_offshore,0.00000000000000E+00,4.00000000000000E+03,,
energy_hydrogen_electrolysis_wind_electricity,0.00000000000000E+00,4.00000000000000E+03,,
energy_hydrogen_solar_pv_solar_radiation,0.00000000000000E+00,8.67000000000000E+02,,
energy_hydrogen_electrolysis_solar_electricity,0.00000000000000E+00,1.86745540600000E+03,,
energy_hydrogen_steam_methane_reformer,0.00000000000000E+00,7.50000000000000E+03,,
energy_hydrogen_steam_methane_reformer_ccs,0.00000000000000E+00,7.50000000000000E+03,,
energy_hydrogen_biomass_gasification,0.00000000000000E+00,7.88400000000000E+03,,
energy_hydrogen_biomass_gasification_ccs,0.00000000000000E+00,7.88400000000000E+03,,
energy_power_supercritical_coal,1.15941450000000E+05,5.50000000000000E+03,3.60E-01,0.00E+00
energy_power_ultra_supercritical_coal,1.35460604347826E+05,7.10000000000000E+03,4.60E-01,0.00E+00
energy_power_ultra_supercritical_ccs_coal,0.00000000000000E+00,7.50000000000000E+03,3.61E-01,0.00E+00
energy_power_ultra_supercritical_cofiring_coal,2.95714285714286E+04,7.10000000000000E+03,4.20E-01,0.00E+00
energy_power_combined_cycle_coal,0.00000000000000E+00,7.50000000000000E+03,4.53E-01,0.00E+00
energy_power_combined_cycle_ccs_coal,0.00000000000000E+00,4.00000000000000E+03,3.73E-01,0.00E+00
energy_power_ultra_supercritical_lignite,0.00000000000000E+00,6.32900000000000E+03,4.00E-01,0.00E+00
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00000000000000E+00,5.97200000000000E+03,3.05E-01,0.00E+00
energy_power_turbine_network_gas,0.00000000000000E+00,7.50000000000000E+02,3.40E-01,0.00E+00
energy_power_combined_cycle_network_gas,9.67086000000000E+04,1.95000000000000E+03,6.00E-01,0.00E+00
energy_power_combined_cycle_ccs_network_gas,0.00000000000000E+00,1.50000000000000E+03,4.90E-01,0.00E+00
energy_power_ultra_supercritical_network_gas,1.61181000000000E+04,4.60000000000000E+02,4.00E-01,0.00E+00
energy_power_ultra_supercritical_crude_oil,0.00000000000000E+00,4.00000000000000E+03,4.50E-01,0.00E+00
energy_power_engine_diesel,0.00000000000000E+00,4.00000000000000E+03,3.80E-01,0.00E+00
energy_power_engine_network_gas,0.00000000000000E+00,1.00000000000000E+00,4.80E-01,0.00E+00
energy_power_supercritical_waste_mix,0.00000000000000E+00,4.10000000000000E+03,2.50E-01,0.00E+00
energy_power_nuclear_gen2_uranium_oxide,4.58662500000000E+04,8.00000000000000E+03,3.20E-01,0.00E+00
energy_power_nuclear_gen3_uranium_oxide,0.00000000000000E+00,7.80000000000000E+03,3.60E-01,0.00E+00
energy_power_hydro_river,3.41632653061225E+02,2.51500000000000E+03,,
energy_power_hydro_mountain,0.00000000000000E+00,4.02400000000000E+03,,
energy_power_geothermal,0.00000000000000E+00,8.00000000000000E+03,,
energy_power_solar_pv_solar_radiation,6.35294117647059E+02,8.67000000000000E+02,,
energy_power_solar_csp_solar_radiation,0.00000000000000E+00,8.67000000000000E+02,,
energy_power_turbine_hydrogen,0.00000000000000E+00,5.00000000000000E+02,,
energy_power_wind_turbine_coastal,8.99461855670103E+03,2.55000000000000E+03,,
energy_power_wind_turbine_offshore,4.20309278350515E+03,3.50000000000000E+03,,
energy_power_wind_turbine_inland,1.48229072164948E+04,1.92000000000000E+03,,
buildings_solar_pv_solar_radiation,6.35230128311948E+03,8.67000000000000E+02,,
households_solar_pv_solar_radiation,1.67724045992335E+04,8.67000000000000E+02,,
industry_chp_turbine_gas_power_fuelmix,2.21846632876842E+04,3.20000000000000E+03,3.80E-01,4.20E-01
industry_chp_engine_gas_power_fuelmix,7.67455945404124E+02,1.30000000000000E+03,4.20E-01,4.80E-01
industry_chp_combined_cycle_gas_power_fuelmix,1.49720577476473E+05,2.95996349727605E+03,4.60E-01,4.20E-01
industry_chp_ultra_supercritical_coal,4.00007810735053E+01,4.50000000000000E+03,4.00E-01,1.50E-01
industry_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03,2.79E-01,8.35E-01
industry_heat_burner_lignite,0.00000000000000E+00,2.19000000000000E+03,0.00E+00,7.20E-01
industry_heat_burner_coal,0.00000000000000E+00,2.19000000000000E+03,0.00E+00,7.20E-01
industry_heat_burner_crude_oil,3.11314362962975E+04,2.19000000000000E+03,0.00E+00,7.20E-01
