key,demand,input_of_electricity,input_of_network_gas,input_of_coal,input_of_crude_oil,input_of_wood_pellets,input_of_steam_hot_water,input_of_coal_gas,input_of_useable_heat,input_of_hydrogen,input_of_diesel,input_of_biodiesel,input_of_gasoline,input_of_bio_ethanol,output_of_useable_heat
agriculture_useful_demand_electricity,30695333825.983845,30695333825.983845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_useful_demand_useable_heat,106534328913.35306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106534328913.35306,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_burner_wood_pellets,2471510000.0,0.0,0.0,0.0,0.0,2471510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880385958.762886
agriculture_final_demand_wood_pellets,2471510000.0,0.0,0.0,0.0,0.0,2471510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_final_demand_steam_hot_water,42122764599.3866,0.0,0.0,0.0,0.0,0.0,42122764599.3866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42122764599.3866
agriculture_geothermal,2553933913.0434747,106413913.04347819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553933913.0434747
agriculture_heatpump_water_water_ts_electricity,2028882002.3715086,88212260.97267425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028882002.3715086
agriculture_burner_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_burner_network_gas,49616514222.903694,0.0,49616514222.903694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44654862800.61333
agriculture_final_demand_network_gas,49616514222.903694,0.0,49616514222.903694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_final_demand_electricity,30889959999.999996,30889959999.999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_final_demand_hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agriculture_burner_crude_oil,16855810000.000002,0.0,0.0,0.0,16855810000.000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13293499639.175259
agriculture_final_demand_crude_oil,16855810000.000002,0.0,0.0,0.0,16855810000.000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_cooling,70752816216.58301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_after_insulation_cooling,70752816216.58301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_airconditioning_electricity,66257946811.89461,16564486702.973652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_savings_insulation_cooling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_collective_heatpump_water_water_ts_electricity,4494869404.688313,235513297.02642107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_for_appliances,60335602249.99994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_appliances_network_gas,3799218372.845341,0.0,3799218372.845341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_appliances_crude_oil,6651990000.0,0.0,0.0,0.0,6651990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_appliances_crude_oil,6651990000.0,0.0,0.0,0.0,6651990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_cooling_heatpump_air_water_network_gas,8.594496200000001e-05,0.0,5.055586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_cooling_network_gas,5.055586e-05,0.0,5.055586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_for_space_heating,143028257618.07245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143028257618.07245,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_for_space_heating_after_insulation,143028257618.07245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143028257618.07245,0.0,0.0,0.0,0.0,0.0,143028257618.07245
buildings_space_heater_solar_thermal,226970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226970000.0
buildings_final_demand_solar_thermal,226970000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_for_space_heating_after_insulation_and_solar_thermal,142801287618.07245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142801287618.07245,0.0,0.0,0.0,0.0,0.0,142801287618.07245
buildings_space_heater_wood_pellets_aggregator,485349799.99999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485349799.99999994,0.0,0.0,0.0,0.0,0.0,485349799.99999994
buildings_space_heater_network_gas_aggregator,130803990546.17397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130803990546.17397,0.0,0.0,0.0,0.0,0.0,130803990546.17397
buildings_space_heater_collective_heatpump_water_water_ts_electricity_aggregator,3707195021.8984904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3707195021.8984904,0.0,0.0,0.0,0.0,0.0,3707195021.8984904
buildings_space_heater_crude_oil_aggregator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_space_heating_crude_oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_crude_oil,6651990000.0,0.0,0.0,0.0,6651990000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_heatpump_air_water_network_gas_aggregator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_coal_aggregator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_heating_savings_from_insulation_useable_heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_appliances_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_final_demand_for_appliances_wood_pellets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_electricity_aggregator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_space_heater_electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_light,6766908106.375229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_lighting_savings_from_motion_detection_light,263909416.14863393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_useful_demand_after_motion_detection_light,6502998690.226595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildings_lighting_savings_from_daylight_control_light,344658930.5820095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
