key,share
industry_final_demand_for_other_minerals_steam_hot_water,1.53230884637727E-04
industry_final_demand_for_other_transport_equipment_steam_hot_water,3.06461769275454E-04
industry_final_demand_for_other_machinery_steam_hot_water,7.39243725538328E-03
industry_final_demand_for_other_mining_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_food_steam_hot_water,2.82469319517651E-01
industry_final_demand_for_other_paper_steam_hot_water,4.28049332721426E-01
industry_final_demand_for_other_wood_products_steam_hot_water,2.89461526850473E-03
industry_final_demand_for_other_construction_steam_hot_water,0.00000000000000E+00
industry_final_demand_for_other_textile_steam_hot_water,3.35430792241791E-03
industry_final_demand_for_other_non_specified_steam_hot_water,2.75380294660704E-01
