key,demand,full_load_hours
energy_heater_for_heat_network_geothermal,0.00000000000000E+00,3.67200000000000E+03
energy_heater_for_heat_network_wood_pellets,3.91551444913234E+03,2.19000000000000E+03
energy_heater_for_heat_network_coal,0.00000000000000E+00,2.19000000000000E+03
energy_heater_for_heat_network_lignite,0.00000000000000E+00,2.19000000000000E+03
energy_heater_for_heat_network_crude_oil,3.18478396274355E+04,2.19000000000000E+03
energy_heater_for_heat_network_network_gas,2.55738697069114E+04,2.19000000000000E+03
energy_heater_for_heat_network_waste_mix,0.00000000000000E+00,2.19000000000000E+03
energy_power_supercritical_coal,1.15941450000000E+05,5.50000000000000E+03
energy_power_ultra_supercritical_coal,1.35460604347826E+05,7.10000000000000E+03
energy_power_ultra_supercritical_ccs_coal,0.00000000000000E+00,7.50000000000000E+03
energy_power_ultra_supercritical_cofiring_coal,2.95714285714286E+04,7.10000000000000E+03
energy_power_combined_cycle_coal,0.00000000000000E+00,7.50000000000000E+03
energy_power_combined_cycle_ccs_coal,0.00000000000000E+00,4.00000000000000E+03
energy_power_ultra_supercritical_lignite,0.00000000000000E+00,6.32900000000000E+03
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.00000000000000E+00,5.97200000000000E+03
energy_power_turbine_network_gas,0.00000000000000E+00,7.50000000000000E+02
energy_power_combined_cycle_network_gas,9.67086000000000E+04,1.95000000000000E+03
energy_power_combined_cycle_ccs_network_gas,0.00000000000000E+00,1.50000000000000E+03
energy_power_ultra_supercritical_network_gas,1.61181000000000E+04,4.60000000000000E+02
energy_power_ultra_supercritical_crude_oil,0.00000000000000E+00,4.00000000000000E+03
energy_power_engine_diesel,0.00000000000000E+00,4.00000000000000E+03
energy_power_engine_network_gas,0.00000000000000E+00,1.00000000000000E+00
energy_power_supercritical_waste_mix,0.00000000000000E+00,4.10000000000000E+03
energy_power_nuclear_gen2_uranium_oxide,4.58662500000000E+04,8.00000000000000E+03
energy_power_nuclear_gen3_uranium_oxide,0.00000000000000E+00,7.80000000000000E+03
energy_power_hydro_river,3.41632653061225E+02,2.51500000000000E+03
energy_power_hydro_mountain,0.00000000000000E+00,4.02400000000000E+03
energy_power_geothermal,0.00000000000000E+00,8.00000000000000E+03
energy_power_solar_pv_solar_radiation,7.20000000000000E+02,8.67000000000000E+02
energy_power_solar_csp_solar_radiation,0.00000000000000E+00,8.67000000000000E+02
energy_power_wind_turbine_coastal,8.99461855670103E+03,2.55000000000000E+03
energy_power_wind_turbine_offshore,4.20309278350515E+03,3.50000000000000E+03
energy_power_wind_turbine_inland,1.48229072164948E+04,1.92000000000000E+03
buildings_solar_pv_solar_radiation,6.74932011331445E+03,8.67000000000000E+02
households_solar_pv_solar_radiation,1.78206798866855E+04,8.67000000000000E+02
agriculture_chp_engine_network_gas,7.88005259561418E+04,3.20000000000000E+03
agriculture_chp_engine_biogas,4.36916400000000E+03,8.00000000000000E+03
agriculture_chp_supercritical_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
households_collective_chp_network_gas,0.00000000000000E+00,4.50000000000000E+03
households_collective_chp_biogas,0.00000000000000E+00,8.00000000000000E+03
households_collective_chp_wood_pellets,0.00000000000000E+00,6.00000000000000E+03
buildings_collective_chp_network_gas,1.11190172793002E+04,4.50000000000000E+03
buildings_chp_engine_biogas,3.53143500000000E+03,8.00000000000000E+03
buildings_collective_chp_wood_pellets,1.68928110485299E+03,6.00000000000000E+03
industry_chp_turbine_gas_power_fuelmix,2.21950964491957E+04,3.20000000000000E+03
industry_chp_engine_gas_power_fuelmix,7.67925532789623E+02,1.30000000000000E+03
industry_chp_combined_cycle_gas_power_fuelmix,2.85468558435570E+04,1.60000000000000E+03
industry_chp_ultra_supercritical_coal,1.81259676467353E+00,4.50000000000000E+03
energy_chp_combined_cycle_network_gas,1.27225714285714E+05,3.70000000000000E+03
energy_chp_ultra_supercritical_cofiring_coal,1.51783783783784E+03,8.00000000000000E+03
energy_chp_ultra_supercritical_coal,9.73530000000000E+04,8.00000000000000E+03
energy_chp_ultra_supercritical_lignite,0.00000000000000E+00,4.50000000000000E+03
energy_chp_supercritical_waste_mix,4.84133333333333E+04,5.00000000000000E+03
