year,max_demand
2.01000000000000E+03,5.87142094464000E+04
2.01100000000000E+03,5.95971025711200E+04
2.01200000000000E+03,6.04799956958400E+04
2.01300000000000E+03,6.13628888205600E+04
2.01400000000000E+03,6.22457819452800E+04
2.01500000000000E+03,6.31286750700000E+04
2.01600000000000E+03,6.46764630170400E+04
2.01700000000000E+03,6.62242509640800E+04
2.01800000000000E+03,6.77720389111200E+04
2.01900000000000E+03,6.93198268581600E+04
2.02000000000000E+03,7.08676148052000E+04
2.02100000000000E+03,7.06350832826400E+04
2.02200000000000E+03,7.04025517600800E+04
2.02300000000000E+03,7.01700202375200E+04
2.02400000000000E+03,6.99374887149600E+04
2.02500000000000E+03,6.97049571924000E+04
2.02600000000000E+03,7.02136198980000E+04
2.02700000000000E+03,7.07222826036000E+04
2.02800000000000E+03,7.12309453092000E+04
2.02900000000000E+03,7.17396080148000E+04
2.03000000000000E+03,7.22482707204000E+04
2.03100000000000E+03,7.28550326620800E+04
2.03200000000000E+03,7.34617946037600E+04
2.03300000000000E+03,7.40685565454400E+04
2.03400000000000E+03,7.46753184871200E+04
2.03500000000000E+03,7.52820804288000E+04
2.03600000000000E+03,7.56199777975200E+04
2.03700000000000E+03,7.59578751662400E+04
2.03800000000000E+03,7.62957725349600E+04
2.03900000000000E+03,7.66336699036800E+04
2.04000000000000E+03,7.69715672724000E+04
2.04100000000000E+03,7.77381946358400E+04
2.04200000000000E+03,7.85048219992800E+04
2.04300000000000E+03,7.92714493627200E+04
2.04400000000000E+03,8.00380767261600E+04
2.04500000000000E+03,8.08047040896000E+04
2.04600000000000E+03,8.20545610233600E+04
2.04700000000000E+03,8.33044179571200E+04
2.04800000000000E+03,8.45542748908800E+04
2.04900000000000E+03,8.58041318246400E+04
2.05000000000000E+03,8.70539887584000E+04
