year,max_demand
2010,124.37752770590815
2011,126.24780859901061
2012,128.11808949211306
2013,129.98837038521552
2014,131.85865127831798
2015,133.72893217142044
2016,137.00769620624203
2017,140.28646024106362
2018,143.5652242758852
2019,146.84398831070678
2020,150.1227523455284
2021,149.63016807738617
2022,149.13758380924395
2023,148.64499954110175
2024,148.15241527295953
2025,147.65983100481733
2026,148.7373590913784
2027,149.8148871779395
2028,150.89241526450058
2029,151.9699433510617
2030,153.04747143762276
2031,154.33280851230634
2032,155.61814558698993
2033,156.9034826616735
2034,158.1888197363571
2035,159.47415681104067
2036,160.1899433256848
2037,160.90572984032897
2038,161.6215163549731
2039,162.33730286961725
2040,163.05308938426143
2041,164.67707814329276
2042,166.3010669023241
2043,167.92505566135546
2044,169.5490444203868
2045,171.17303317941816
2046,173.82067362068256
2047,176.4683140619469
2048,179.1159545032113
2049,181.7635949444757
2050,184.41123538574004
