year,preset_demand
2010,63595.93087790084
2011,57890.85412002482
2012,57621.06925704972
2013,61927.10538313572
2014,55235.18986048604
2015,53976.15719155582
2016,52488.9149823694
2017,51457.882585407046
2018,51365.87634834617
2019,50714.90237745736
2020,50040.68770745613
2021,48942.36184484447
2022,44482.52911412638
2023,39184.45558862714
2024,35266.596007805136
2025,31840.32783535591
2026,28657.637302150375
2027,25867.459419806015
2028,23531.032278971583
2029,21278.81870176632
2030,19420.788352493742
2031,17845.08584047967
2032,16535.449913202116
2033,15413.095775606096
2034,14183.495178225747
2035,13056.095973082463
2036,11777.624055555541
2037,10642.280965550062
2038,9506.937875544558
2039,8371.594785539053
2040,7236.2516955335495
2041,6100.908605528045
2042,4965.565515522541
2043,3830.222425517061
2044,2694.879335511557
2045,1559.536245506048
2046,424.19315550054637
2047,0.0
2048,0.0
2049,0.0
2050,0.0
