year,max_demand
2010,373.34924174505835
2011,378.9633423480317
2012,384.577442951005
2013,390.1915435539784
2014,395.80564415695176
2015,401.41974475992504
2016,411.2617482861252
2017,421.1037518123254
2018,430.94575533852566
2019,440.7877588647258
2020,450.629762390926
2021,449.1511515325297
2022,447.67254067413336
2023,446.19392981573714
2024,444.71531895734086
2025,443.23670809894463
2026,446.47116935168646
2027,449.7056306044283
2028,452.94009185717016
2029,456.174553109912
2030,459.4090143626538
2031,463.2672645712816
2032,467.1255147799094
2033,470.98376498853713
2034,474.8420151971649
2035,478.7002654057927
2036,480.8488718093997
2037,482.99747821300684
2038,485.14608461661385
2039,487.29469102022097
2040,489.4432974238281
2041,494.31809259760325
2042,499.1928877713785
2043,504.06768294515365
2044,508.9424781189289
2045,513.817273292704
2046,521.764806656584
2047,529.7123400204639
2048,537.6598733843439
2049,545.607406748224
2050,553.5549401121038
