year,max_demand
2010,107.08352655978989
2011,108.69375533169763
2012,110.30398410360536
2013,111.91421287551309
2014,113.52444164742083
2015,115.13467041932854
2016,117.95754061205568
2017,120.78041080478282
2018,123.60328099750997
2019,126.42615119023709
2020,129.24902138296423
2021,128.82492820847
2022,128.4008350339758
2023,127.97674185948158
2024,127.55264868498735
2025,127.12855551049314
2026,128.05625932969926
2027,128.98396314890536
2028,129.91166696811146
2029,130.83937078731756
2030,131.76707460652364
2031,132.8736927337195
2032,133.98031086091535
2033,135.0869289881112
2034,136.19354711530704
2035,137.30016524250289
2036,137.91642563668978
2037,138.5326860308767
2038,139.1489464250636
2039,139.76520681925052
2040,140.38146721343745
2041,141.77964939809806
2042,143.17783158275867
2043,144.5760137674193
2044,145.97419595207992
2045,147.37237813674054
2046,149.65187894964697
2047,151.93137976255338
2048,154.2108805754598
2049,156.49038138836625
2050,158.76988220127262
