year,preset_demand
2010,6722.926428222379
2011,6119.824770913516
2012,6091.304962174307
2013,6546.509621864311
2014,5839.086126341792
2015,5705.989812047766
2016,5548.768747503498
2017,5439.775061048939
2018,5430.048791550888
2019,5361.232279982315
2020,5289.958920811759
2021,5173.851429866643
2022,4702.3884460420795
2023,4142.312384074704
2024,3728.1430912540327
2025,3365.941476641918
2026,3029.489222493438
2027,2734.5307186126056
2028,2487.5396367006315
2029,2249.45103620094
2030,2053.032787939957
2031,1886.46030578895
2032,1748.0145614574785
2033,1629.3669657810226
2034,1499.3820085963023
2035,1380.2010829177934
2036,1245.049784345189
2037,1125.02908554369
2038,1005.008386742188
2039,884.9876879406862
2040,764.9669891391845
2041,644.9462903376827
2042,524.925591536181
2043,404.9048927346817
2044,284.88419393318
2045,164.86349513167767
2046,44.84279633017616
2047,0.0
2048,0.0
2049,0.0
2050,0.0
