year,preset_demand
2010,6032.22918822493
2011,5491.088740009836
2012,5465.498987607216
2013,5873.937018889389
2014,5239.192506408477
2015,5119.77018630704
2016,4978.701634587295
2017,4880.9056964964975
2018,4872.1786804589
2019,4810.432211246753
2020,4746.481305027309
2021,4642.302417554955
2022,4219.276403131334
2023,3716.741204405532
2024,3345.122665411654
2025,3020.132770756046
2026,2718.2468093987127
2027,2453.591630523645
2028,2231.9758164213013
2029,2018.347864271063
2030,1842.1091529137532
2031,1692.649925668861
2032,1568.4277630647928
2033,1461.9697350923716
2034,1345.3391187779873
2035,1238.4025538410926
2036,1117.1363735875434
2037,1009.4463117920897
2038,901.7562499966336
2039,794.0661882011777
2040,686.3761264057218
2041,578.6860646102659
2042,470.99600281480997
2043,363.30594101935634
2044,255.61587922390038
2045,147.925817428444
2046,40.23575563298828
2047,0.0
2048,0.0
2049,0.0
2050,0.0
