year,max_demand
2010,113.42079140930704
2011,115.12631444844453
2012,116.831837487582
2013,118.53736052671948
2014,120.24288356585697
2015,121.94840660499443
2016,124.93833588348235
2017,127.92826516197027
2018,130.91819444045822
2019,133.90812371894611
2020,136.89805299743406
2021,136.44886174432787
2022,135.9996704912217
2023,135.55047923811554
2024,135.10128798500938
2025,134.6520967319032
2026,135.63470259807295
2027,136.61730846424268
2028,137.59991433041245
2029,138.58252019658218
2030,139.56512606275192
2031,140.7372344888258
2032,141.90934291489972
2033,143.08145134097362
2034,144.25355976704753
2035,145.42566819312142
2036,146.07839923279133
2037,146.73113027246123
2038,147.3838613121311
2039,148.036592351801
2040,148.6893233914709
2041,150.1702508040553
2042,151.6511782166397
2043,153.1321056292241
2044,154.61303304180848
2045,156.09396045439286
2046,158.50836343983852
2047,160.92276642528415
2048,163.3371694107298
2049,165.75157239617548
2050,168.16597538162108
