year,preset_demand
2010,33516.31100411125
2011,30509.62293020895
2012,30367.440981665175
2013,32636.80702450091
2014,29110.03544062423
2015,28446.500369847166
2016,27662.69436632729
2017,27119.31993977396
2018,27070.83083657063
2019,26727.75470319694
2020,26372.430262602145
2021,25793.59085122806
2022,23443.170961690685
2023,20650.981625800552
2024,18586.1922852156
2025,16780.48132122685
2026,15103.140581525135
2027,13632.661757321895
2028,12401.318531274947
2029,11214.357515699587
2030,10235.138842717837
2031,9404.712513334951
2032,8714.508526462496
2033,8123.005739835452
2034,7474.981951776371
2035,6880.820314958494
2036,6207.040376425592
2037,5608.692155467082
2038,5010.343934508559
2039,4411.995713550036
2040,3813.6474925915136
2041,3215.2992716329913
2042,2616.9510506744687
2043,2018.6028297159587
2044,1420.254608757436
2045,821.9063877989108
2046,223.5581668403895
2047,0.0
2048,0.0
2049,0.0
2050,0.0
