year,max_demand
2010,151.11939256540913
2011,153.3917943224261
2012,155.6641960794431
2013,157.93659783646007
2014,160.20899959347705
2015,162.48140135049402
2016,166.46511801094354
2017,170.44883467139306
2018,174.4325513318426
2019,178.41626799229212
2020,182.39998465274167
2021,181.80149200891825
2022,181.20299936509483
2023,180.60450672127143
2024,180.00601407744801
2025,179.40752143362465
2026,180.71672409198834
2027,182.02592675035203
2028,183.33512940871572
2029,184.6443320670794
2030,185.9535347254431
2031,187.5152264679198
2032,189.07691821039649
2033,190.6386099528732
2034,192.20030169534988
2035,193.76199343782656
2036,194.63167806088242
2037,195.5013626839383
2038,196.37104730699417
2039,197.24073193005006
2040,198.11041655310598
2041,200.08357198821125
2042,202.05672742331652
2043,204.0298828584218
2044,206.00303829352708
2045,207.97619372863235
2046,211.19309168918315
2047,214.40998964973392
2048,217.6268876102847
2049,220.84378557083554
2050,224.06068353138627
