year,preset_demand
2010,6833.493970187524
2011,6220.473497238522
2012,6191.4846419935575
2013,6654.1757528369935
2014,5935.11772912747
2015,5799.832467434832
2016,5640.025691617743
2017,5529.2394578060685
2018,5519.353226761156
2019,5449.404935362476
2020,5376.959390207851
2021,5258.942355849669
2022,4779.7255309254615
2023,4210.438266939678
2024,3789.457404610766
2025,3421.2988986580963
2026,3079.313235937173
2027,2779.503743858863
2028,2528.4505623380524
2029,2286.446275476442
2030,2086.79766568478
2031,1917.4856756561985
2032,1776.7630053744435
2033,1656.1640908558015
2034,1524.0413567131145
2035,1402.9003408652288
2036,1265.5262979213876
2037,1143.5316977551922
2038,1021.5370975889941
2039,899.542497422796
2040,777.547897256598
2041,655.5532970904
2042,533.5586969242019
2043,411.5640967580064
2044,289.56949659180833
2045,167.57489642560972
2046,45.58029625941191
2047,0.0
2048,0.0
2049,0.0
2050,0.0
