year,max_demand
2010,99.51595021934084
2011,101.01238437177275
2012,102.50881852420468
2013,104.0052526766366
2014,105.50168682906852
2015,106.99812098150043
2016,109.62149937218355
2017,112.24487776286666
2018,114.86825615354981
2019,117.49163454423291
2020,120.11501293491604
2021,119.72089035978993
2022,119.32676778466382
2023,118.93264520953772
2024,118.53852263441162
2025,118.14440005928553
2026,119.00654319237388
2027,119.86868632546222
2028,120.73082945855057
2029,121.59297259163893
2030,122.45511572472726
2031,123.48352931919695
2032,124.51194291366662
2033,125.5403565081363
2034,126.56877010260597
2035,127.59718369707564
2036,128.16989306405574
2037,128.74260243103586
2038,129.31531179801598
2039,129.8880211649961
2040,130.46073053197622
2041,131.7601033968451
2042,133.05947626171397
2043,134.3588491265828
2044,135.65822199145168
2045,136.95759485632055
2046,139.07600369762335
2047,141.19441253892614
2048,143.31282138022897
2049,145.43123022153176
2050,147.54963906283456
