year,preset_demand
2010,463.61390222726413
2011,422.0239315842827
2012,420.05720177375645
2013,451.44817575571
2014,402.6641572500715
2015,393.4858176831107
2016,382.64383212460365
2017,375.12761298479467
2018,374.4568881443181
2019,369.7112923377
2020,364.7962719931082
2021,356.7894839478142
2022,324.27733376734443
2023,285.6544139116781
2024,257.0932442964293
2025,232.11577269441767
2026,208.91398042072473
2027,188.57360269395767
2028,171.5410647771592
2029,155.12244316468437
2030,141.5774145945895
2031,130.09055403197453
2032,120.54331705689388
2033,112.36136305089283
2034,103.3975830847351
2035,95.17885057073364
2036,85.85879901412385
2037,77.5821556336728
2038,69.30551225322156
2039,61.02886887277033
2040,52.75222549231911
2041,44.47558211186789
2042,36.19893873141667
2043,27.922295350965612
2044,19.645651970514386
2045,11.369008590063126
2046,3.0923652096119185
2047,0.0
2048,0.0
2049,0.0
2050,0.0
