year,preset_demand
2.01000000000000E+03,5.78500000000000E+05
2.01100000000000E+03,5.51800000000000E+05
2.01200000000000E+03,5.51800000000000E+05
2.01300000000000E+03,5.69600000000000E+05
2.01400000000000E+03,5.69600000000000E+05
2.01500000000000E+03,5.69600000000000E+05
2.01600000000000E+03,5.34000000000000E+05
2.01700000000000E+03,5.34000000000000E+05
2.01800000000000E+03,5.34000000000000E+05
2.01900000000000E+03,5.34000000000000E+05
2.02000000000000E+03,5.69600000000000E+05
2.02100000000000E+03,5.87400000000000E+05
2.02200000000000E+03,6.23000000000000E+05
2.02300000000000E+03,6.40800000000000E+05
2.02400000000000E+03,6.76400000000000E+05
2.02500000000000E+03,7.20900000000000E+05
2.02600000000000E+03,7.20900000000000E+05
2.02700000000000E+03,7.20900000000000E+05
2.02800000000000E+03,7.20900000000000E+05
2.02900000000000E+03,7.20900000000000E+05
2.03000000000000E+03,9.96800000000000E+05
2.03100000000000E+03,9.61200000000000E+05
2.03200000000000E+03,9.61200000000000E+05
2.03300000000000E+03,9.61200000000000E+05
2.03400000000000E+03,9.61200000000000E+05
2.03500000000000E+03,9.96800000000000E+05
2.03600000000000E+03,1.05020000000000E+06
2.03700000000000E+03,1.10360000000000E+06
2.03800000000000E+03,1.11250000000000E+06
2.03900000000000E+03,1.25490000000000E+06
2.04000000000000E+03,1.24600000000000E+06
2.04100000000000E+03,1.13920000000000E+06
2.04200000000000E+03,1.13920000000000E+06
2.04300000000000E+03,1.13920000000000E+06
2.04400000000000E+03,1.13920000000000E+06
2.04500000000000E+03,1.13920000000000E+06
2.04600000000000E+03,1.13920000000000E+06
2.04700000000000E+03,1.13920000000000E+06
2.04800000000000E+03,1.13920000000000E+06
2.04900000000000E+03,1.13920000000000E+06
2.05000000000000E+03,1.13920000000000E+06
