year,preset_demand
2.01000000000000E+03,0.00000000000000E+00
2.01100000000000E+03,0.00000000000000E+00
2.01200000000000E+03,0.00000000000000E+00
2.01300000000000E+03,0.00000000000000E+00
2.01400000000000E+03,0.00000000000000E+00
2.01500000000000E+03,0.00000000000000E+00
2.01600000000000E+03,0.00000000000000E+00
2.01700000000000E+03,0.00000000000000E+00
2.01800000000000E+03,0.00000000000000E+00
2.01900000000000E+03,0.00000000000000E+00
2.02000000000000E+03,0.00000000000000E+00
2.02100000000000E+03,0.00000000000000E+00
2.02200000000000E+03,0.00000000000000E+00
2.02300000000000E+03,0.00000000000000E+00
2.02400000000000E+03,0.00000000000000E+00
2.02500000000000E+03,0.00000000000000E+00
2.02600000000000E+03,0.00000000000000E+00
2.02700000000000E+03,0.00000000000000E+00
2.02800000000000E+03,0.00000000000000E+00
2.02900000000000E+03,0.00000000000000E+00
2.03000000000000E+03,0.00000000000000E+00
2.03100000000000E+03,2.49951960000000E+04
2.03200000000000E+03,4.99903920000000E+04
2.03300000000000E+03,7.49855880000000E+04
2.03400000000000E+03,9.99807840000000E+04
2.03500000000000E+03,1.24975980000000E+05
2.03600000000000E+03,1.93413412800000E+05
2.03700000000000E+03,2.61850845600000E+05
2.03800000000000E+03,3.30288278400000E+05
2.03900000000000E+03,3.98725711200000E+05
2.04000000000000E+03,4.67163144000000E+05
2.04100000000000E+03,4.92074604000000E+05
2.04200000000000E+03,5.16986064000000E+05
2.04300000000000E+03,5.41897524000000E+05
2.04400000000000E+03,5.66808984000000E+05
2.04500000000000E+03,5.91720444000000E+05
2.04600000000000E+03,6.15375864000000E+05
2.04700000000000E+03,6.39031284000000E+05
2.04800000000000E+03,6.62686704000000E+05
2.04900000000000E+03,6.86342124000000E+05
2.05000000000000E+03,7.09997544000000E+05
