year,preset_demand
2010,187.19504731440477
2011,170.40211577176697
2012,169.60800222562997
2013,182.28284832400368
2014,162.58515028587794
2015,158.8791792154447
2016,154.5014718389909
2017,151.4666210919737
2018,151.19580011864917
2019,149.27965388729774
2020,147.29509850287764
2021,144.06216899024952
2022,130.93462155889003
2023,115.3397067492436
2024,103.807460904596
2025,93.72221765397242
2026,84.35394681138698
2027,76.14103957831499
2028,69.26375068360768
2029,62.63434497592917
2030,57.16522023253237
2031,52.527129363853874
2032,48.67220726448168
2033,45.36855036394541
2034,41.74921279270436
2035,38.43070570214528
2036,34.667515073627364
2037,31.32562510491694
2038,27.983735136206445
2039,24.641845167495948
2040,21.299955198785455
2041,17.958065230074958
2042,14.616175261364464
2043,11.27428529265404
2044,7.932395323943545
2045,4.590505355233036
2046,1.2486153865225484
2047,0.0
2048,0.0
2049,0.0
2050,0.0
