year,preset_demand
2010,1420.5829758812772
2011,1293.1450280997644
2012,1287.1186710954348
2013,1383.3053536363643
2014,1233.8237573096533
2015,1205.6999394667394
2016,1172.4784591893515
2017,1149.447629221333
2018,1147.3924270686275
2019,1132.8512052008014
2020,1117.790840975109
2021,1093.2568338325477
2022,993.6346981852214
2023,875.2882418727646
2024,787.7725070517005
2025,711.237763878744
2026,640.1439701948245
2027,577.8179825943156
2028,525.6277154681255
2029,475.31858056499516
2030,433.8145684936101
2031,398.6170938640126
2032,369.3629186799918
2033,344.2921765936792
2034,316.8258017539808
2035,291.64236476768195
2036,263.08431999799456
2037,237.72343537563137
2038,212.36255075326758
2039,187.00166613090383
2040,161.64078150854007
2041,136.27989688617632
2042,110.91901226381258
2043,85.55812764144935
2044,60.1972430190856
2045,34.83635839672173
2046,9.475473774358031
2047,0.0
2048,0.0
2049,0.0
2050,0.0
