year,max_demand
2.01000000000000E+03,1.12618277641800E+05
2.01100000000000E+03,1.23684584544476E+05
2.01200000000000E+03,1.34750891447152E+05
2.01300000000000E+03,1.45817198349829E+05
2.01400000000000E+03,1.56883505252505E+05
2.01500000000000E+03,1.67949812155181E+05
2.01600000000000E+03,1.95663004666914E+05
2.01700000000000E+03,2.23376197178647E+05
2.01800000000000E+03,2.51089389690380E+05
2.01900000000000E+03,2.78802582202113E+05
2.02000000000000E+03,3.06515774713846E+05
2.02100000000000E+03,3.13968926729241E+05
2.02200000000000E+03,3.21422078744637E+05
2.02300000000000E+03,3.28875230760032E+05
2.02400000000000E+03,3.36328382775427E+05
2.02500000000000E+03,3.43781534790823E+05
2.02600000000000E+03,3.51245851297128E+05
2.02700000000000E+03,3.58710167803433E+05
2.02800000000000E+03,3.66174484309739E+05
2.02900000000000E+03,3.73638800816044E+05
2.03000000000000E+03,3.81103117322350E+05
2.03100000000000E+03,3.84693048981025E+05
2.03200000000000E+03,3.88282980639700E+05
2.03300000000000E+03,3.91872912298375E+05
2.03400000000000E+03,3.95462843957050E+05
2.03500000000000E+03,3.99052775615725E+05
2.03600000000000E+03,3.99447903975977E+05
2.03700000000000E+03,3.99843032336229E+05
2.03800000000000E+03,4.00238160696481E+05
2.03900000000000E+03,4.00633289056733E+05
2.04000000000000E+03,4.01028417416985E+05
2.04100000000000E+03,3.88364218471778E+05
2.04200000000000E+03,3.75700019526571E+05
2.04300000000000E+03,3.63035820581364E+05
2.04400000000000E+03,3.50371621636157E+05
2.04500000000000E+03,3.37707422690950E+05
2.04600000000000E+03,3.38679567985487E+05
2.04700000000000E+03,3.39651713280024E+05
2.04800000000000E+03,3.40623858574561E+05
2.04900000000000E+03,3.41596003869098E+05
2.05000000000000E+03,3.42568149163636E+05
