year,max_demand
2010,1439.7607950648496
2011,1461.4106634559857
2012,1483.0605318471219
2013,1504.710400238258
2014,1526.3602686293939
2015,1548.0101370205298
2016,1585.9642272864721
2017,1623.9183175524142
2018,1661.8724078183568
2019,1699.8264980842987
2020,1737.780588350241
2021,1732.078565399489
2022,1726.3765424487372
2023,1720.6745194979853
2024,1714.9724965472333
2025,1709.2704735964817
2026,1721.7436488012513
2027,1734.2168240060212
2028,1746.6899992107908
2029,1759.1631744155607
2030,1771.6363496203303
2031,1786.5150657574486
2032,1801.3937818945667
2033,1816.272498031685
2034,1831.151214168803
2035,1846.0299303059214
2036,1854.3156824062326
2037,1862.601434506544
2038,1870.887186606855
2039,1879.1729387071664
2040,1887.458690807478
2041,1906.257547723238
2042,1925.056404638998
2043,1943.855261554758
2044,1962.6541184705181
2045,1981.4529753862782
2046,2012.1013487465698
2047,2042.7497221068609
2048,2073.3980954671524
2049,2104.0464688274437
2050,2134.694842187735
